Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-6.56268388412897E-05,-0.0018327007667883,0,0,0,12.8855823721382,0.0421807652032233,-1.34496706244267E-06,-6.3714884402576E-07,0.0393349785410112,-0.00263642268133378,0.0260895105002815,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link0.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0151282243672772,0.0579202039090417,2.10306143118288E-06,0,0,0,5.99821480243843,0.00736055707938686,-0.00122681746730992,1.68926589082216E-06,0.00854032824475332,-1.74095155299347E-06,0.0109840796018939,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.0187337045920399,0.00814213077337093,0.108012813287898,1.5707963267949,0,3.14159265358979,Link0,0,1,0,87,0.5,-3.14,3.14,,,,,,,,
Link2,0.0577699955668527,0.114688998930113,6.50921205130883E-09,0,0,0,8.39602194903483,0.05822463187119,0.005449943676994,3.32883133356236E-08,0.00791087183232519,7.6854982773599E-08,0.0594812525189201,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.0449999999999966,0.0700027545007157,0,0,0,0,Link1,1,0,0,87,0.5,-3.14,3.14,,,10,,,,,
Link3,-0.0425934274822807,-0.0374553901833625,-0.000573604184714915,0,0,0,5.96806049731486,0.0139175269455531,-0.00073291993122514,3.26752318005766E-05,0.00489185564121682,-0.000518483056940989,0.0143249369318369,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,0.199999999987168,0,-1.5707963267949,0,0,Link2,1,0,0,87,0.5,-3.14,3.14,,,10,,,,,
Link4,0.0251922078648439,-6.18100934171584E-07,-0.0977081211835792,0,0,0,9.35582673487368,0.0188950501990782,-1.81366055319957E-07,0.00591641230670455,0.0245860789108173,2.09735637121099E-07,0.013475465662261,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,-0.044699978983182,-0.0870000000340607,-0.035000000000003,0,0,0,Link3,0,0,1,87,0.5,-3.14,3.14,,,10,,,,,
Link5,0.00343448747071418,-8.04378594607136E-07,-0.00164502407518374,0,0,0,3.17783022879643,0.00279756072551773,-2.26540173627046E-08,-4.89690444119526E-05,0.00296754506089067,6.22311952518936E-08,0.00260962441438699,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link5.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,-0.192109997090373,0,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,10,,,,,
Link6,0.000129775439409643,-6.08316835181422E-05,-0.0111159148463915,0,0,0,0.658519938749683,0.000285334877578837,-2.31058087384026E-07,2.82962089052413E-07,0.000283252143152698,-4.81041652298358E-07,0.00051186170828112,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link6.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,revolute,0.00050000000002997,0,-0.0409999975188,0,0,2.98830567660642,Link5,0,0,1,12,1,-3.14,3.14,,,10,,,,,
Link_hand,-0.00577018770496187,-6.93756742650709E-07,-0.00204489384929187,0,0,0,0.0615357933508534,3.70344948670529E-05,4.8532829219687E-09,-2.12085206451166E-07,6.46545137076904E-05,9.49641231637392E-11,7.92466148342026E-05,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link_hand.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/Link_hand.STL,,装配体33^LiteParallelGriper-1/TipCover.step-1;装配体33^LiteParallelGriper-1/ToArm.step-1;装配体33^LiteParallelGriper-1/SCS3045MBase.step-1,Origin_Jointhand,Axis_Jointhand,Jointhand,fixed,-0.00592964731440341,-0.000916124336347815,-0.0740000000000013,3.14159265358979,0,-2.98830567660642,Link6,0,0,0,0,0,0,,,,,,,,,
F1,0,-0.0363190407693245,-0.00315331714414065,0,0,0,0.0353073426547683,1.04657503943408E-05,-8.63046899567037E-21,6.21258566282228E-22,1.04221536500834E-06,7.07521891798713E-07,1.09576335302811E-05,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F1.STL,,claw_50mm.step-2,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.0224,2.8968E-05,0.024562,-1.5708,0,1.5708,Link_hand,0,0,1,200,0.1,0,0.03,,,10,0,,,,
F1point,-8.32667268468867E-17,2.77555756156289E-17,0.00100000000000009,0,0,0,0.00013,3.14166666666667E-10,1.29769790307469E-25,-8.21096048879193E-26,1.12666666666667E-09,2.19200985498401E-26,1.35416666666667E-09,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F1point.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F1point.STL,,fingertip-2,Origin_f1_pjoint,Axis_f1_pjoint,f1_pjoint,fixed,0,-0.0530000000000038,0,3.14159265358979,0,1.5707963267949,F1,0,0,0,,,,,,,,,,,,
F2,-0.0951497685432137,0.0249757861568675,0.0494870007193379,0,0,0,0.0353073426547682,1.04657503943408E-05,8.60783264703639E-21,-1.10753862432741E-21,1.04221536500834E-06,7.07521891798711E-07,1.0957633530281E-05,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F2.STL,,claw_50mm.step-1,Origin_Joint_f2,Axis_Joint_f2,Joint_f2,prismatic,0.011934,-0.095143,0.035906,1.5708,0,-1.5708,Link_hand,0,0,-1,200,0.1,0,0.03,,,10,0,,,,
F2point,0,-1.38777878078145E-17,0.001,0,0,0,0.00013,3.14166666666666E-10,-2.44035577640732E-24,-5.64720541971518E-25,1.12666666666667E-09,7.74482625146957E-26,1.35416666666666E-09,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F2point.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/F2point.STL,,fingertip-1,Origin_f2_pjoint,Axis_f2_pjoint,f2_pjoint,fixed,-0.0951497685432133,0.0416567453875475,0.0463336835751821,0,0,-1.5707963267949,F2,0,0,0,,,,,,,,,,,,
GripSite,0.00983482262920798,-0.0155937112614594,0.00491998063763813,0,0,0,0.000523598775598299,5.23598775598299E-09,-2.06795153138257E-25,-6.20385459414771E-25,5.23598775598299E-09,5.16987882845642E-25,5.23598775598299E-09,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/GripSite.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper13/meshes/GripSite.STL,,point-3,Origin_gripjoint,,gripjoint,fixed,-0.0021101,0.0017696,0.058966,-1.1646,-0.33468,-2.3203,Link_hand,0,0,0,,,,,,,,,,,,
